ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
ORS,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45545239273413546,-1.801062545167975,0.0,0.0,0.0,-2.029960534119616,0.0,-2417843294.0,0.0,0.0,0.0,0.0,6.543801869560141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014990267234287544,0.020667259163350014
ORS,2016,4,0.9722415892,69600000000.0,24000000.0,-5.1539433082,5.2459302273,-19.586997266,-194.366853375,2982.7977245,25.3931477547,-0.7362677726097375,-1.8034588996314036,-0.1723813013,-0.1922449919,-0.0287362808,-1.806205598377504,-12796917559.0,-4671909058.0,1.1689957111,1.1476406433,1.1689957111,0.0,6.356005423064143,0.0282323926,8.1495145651,0.0,0.0,0.0,0.0,5.3592164016,0.01712193911317227,0.021312930576557018
ORS,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3869336650160115,-0.924494402079182,0.0,0.0,0.0,-0.9293047677033937,0.0,-3946666008.0,0.0,0.0,0.0,2466.666255,6.027072158147215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019274130745092294,0.022701266305432857
ORS,2016,2,1.0473497691,84000000000.0,24000000.0,-18.1744628312,7.8334977001,-1.5195226585,-540.4272570416666,3341.76805425,79.0322582175,1.3960486059062158,1.6762927635718492,-0.0524799642,0.0,-0.0095863101,1.6762861062222383,-3829769796.0,-12970202658.0,1.1869283566,1.0278114736,1.1869283566,1118.1209187931036,5.842692218158855,0.0222411551,5.7601085465,263.5508112784799,8.0753875437,271.6261988221799,0.0498737985,4.8426922182,0.021373277622952786,0.023869790073619192
ORS,2016,1,0.772758648,72000000000.0,24000000.0,29.6141810448,3.4755466981,-1.3069004761,336.7216265416667,3882.1953112917,-96.7189278543,0.6865032229385066,0.5426829645867326,0.0272488187,0.0,0.0049660472,0.5271998910370009,3706867141.0,7850754112.0,1.220724424,1.0350818381,1.220724424,-253.2501326451613,5.153375903130924,0.0418075651,10.3165320758,163.00265598832033,4.5231820769,167.52583806522034,0.032198277,4.1533759031,0.019367419562322435,0.027729987719365606
ORS,2015,4,1.0153791341,86400000000.0,24000000.0,22.7117301158,10.9162969014,-10.5337778186,-363.29224316666665,3545.47368475,-55.0922281844,-2.2314294142323843,-4.231664331169255,0.0,0.0,0.0,-4.264843763594758,0.0,-8787377465.0,0.0,0.0,0.0,2195.015369693203,5.695410913824882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023855273671859998,0.025324839387749175
ORS,2015,3,0.8186727113,76800000000.0,24000000.0,5.8514317564,8.961890663,-1.0573374929,374.4188497083333,3908.7659279167,-26.5738542853,0.24526058004267948,0.19645777669457878,0.0,0.0,0.0,0.19531440721169155,0.0,8933754244.0,0.0,0.0,0.0,0.0,5.278165498759991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020231556029027573,0.027919777983282566
ORS,2015,2,0.9336943789,79200000000.0,24000000.0,19.6798109225,8.4478239374,-3.8588868693,-246.54653245833333,3534.3470782083,-78.1838003223,1.2280235603947476,-1.1646124876167474,0.0476915185,0.0,0.0078688349,-1.0957663376265427,4721519272.0,-5567326000.0,1.1501534043,1.1088508422,1.1501534043,1294.726976744186,5.8754497290774985,0.0183310145,3.7314589422,465.5083891095038,10.8852902605,476.39367937000384,0.0,4.8754497291,0.0259796047218468,0.02524535558260829
ORS,2015,1,0.793463215,72000000000.0,24000000.0,7.2300377471,6.0892254942,-3.2216950138,393.92832583333336,3780.8936107083,-36.2630809112,0.6621288680782711,4.411797066100298,0.0,0.0,0.0,4.3205692917846505,0.0,9258782862.0,0.0,0.0,0.0,0.0,5.462236680604699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028416168928259936,0.02700640359031465
ORS,2014,4,0.885748671,72000000000.0,24000000.0,111.5464654323,6.0319459361,-3.2314019241,25.07405925,3386.9652848333,-184.1175334894,0.5801243232918123,0.21701020632135234,0.0079722776,0.0,0.0012429587,0.0,2035335453.0,0.0,1.1269306799,1.1082788238,1.1269306799,0.0,6.043720039550278,0.02298556,3.9216018213,365.93592030792456,0.0,365.93592030792456,0.0,5.0437200395,0.036354133229444176,0.024192627681861055
ORS,2014,3,1.0113355167,81600000000.0,24000000.0,-0.7074484952,7.4129825813,13.0148172886,-4.77131475,3361.8912255833,3.089838818,0.7502422379639795,-0.05074553721291841,-1.4288079464,305.0011213276,-0.2082997846,0.0,-114483441402.0,0.0,1.0642217447,0.9234178935,1.0642217447,0.0,6.946074198952245,0.019878823,4.0743089751,397.64303629015734,0.8629102998,398.5059465899573,0.0,5.9460741989,0.028661280905942336,0.02401352712165616
ORS,2014,2,1.3069322949,105600000000.0,24000000.0,-0.9066562467,9.8783461974,-11.9492784104,0.704522625,3366.6625403333,2.7823137899,0.5350175999016891,0.0037942230823411723,-1.0630539333,394.7073334828,-0.1984850395,0.0,-115739031345.0,0.0,1.0652248488,0.9289764034,1.0652248488,0.0,6.8157418509226115,0.0182173915,3.5712796209,409.2888281657717,1.101906971,410.3907351367717,0.0160891286,5.8157418509,0.03176375713649006,0.024047607967366807
ORS,2014,1,1.1289505038,91200000000.0,24000000.0,-0.783392374,10.5014198223,40.5220213679,5.887354666666667,3365.9580177083,2.975845794,0.9008145546110801,0.05766183173276699,-0.8394541395,0.0,-0.186458375,0.0,-116083785765.0,0.0,1.0622489469,0.9250310128,1.0622489469,0.0,6.888555313615569,0.0139095542,2.5758343115,504.30703722196995,1.3502896269,505.65732684886996,0.0,5.8885553136,0.03460486991238119,0.024042575659053406
ORS,2013,4,1.3072058465,105600000000.0,24000000.0,-0.9025039235,11.4213291279,-2.7746043598,-4807.8241414583335,3365.9580177083,2.8670279776,-24.146623384296696,-62.56433654281344,-0.8409019354,0.0,-0.187615242,0.0,-115467113753.0,0.0,1.0622489469,0.9250310128,1.0622489469,0.0,6.787147109833625,0.0148252003,2.299905722,474.1125983383666,0.0,474.1125983383666,0.0,5.8885553136,0.03884357418994996,0.024000523093554865
ORS,2013,3,0.3550486471,69600000000.0,24000000.0,-80.2609938067,5.9687236913,22.6773699986,-51.76468570833333,8167.8948045,747.2906017698,0.5944622729120774,-0.6407454988451384,-0.004401042,33.1662873402,-0.0012418746,0.0,-521404481.0,0.0,1.2017611409,0.9290303824,1.2017611409,0.0,3.5336615463803707,0.0166993981,2.7538784271,376.1067614971525,-13.9029414548,362.2038200423525,0.0,2.5336615463,0.017747068952431274,0.05834215037122811
ORS,2013,2,0.2433190818,48000000000.0,24000000.0,-342.2198976301,3.4788594983,-7.7729772269,3.0032452916666665,8219.6594902083,-448.378035684,1.3590139124142384,0.029408948685774722,-0.0007110648,22.8733016139,-0.0002007767,0.0,908199039.0,0.0,1.1999536291,0.9081644258,1.1999536291,0.0,3.553090073352877,0.0197506665,2.9237205088,307.00185197386867,-0.1282771515,306.87357482236865,0.0,2.5530900733,0.020678739104397124,0.05871189840910087
ORS,2013,1,0.2920896199,57600000000.0,24000000.0,-99.0004772596,3.2474447001,-81.3527873666,-18.739483333333332,8216.6562449166,-402.418139562,0.6994161035329943,-0.1514187918535726,-0.0029490438,27.4479619367,-0.0008301258,0.0,999497017.0,0.0,1.2015828788,0.916349745,1.2015828788,0.0,3.5566609807310234,0.0253069287,3.7360460076,221.8826227425502,-1.7498999306,220.1327228119502,0.0,2.5566609807,0.02267334034026994,0.05869044664060948
